latitude,longitude
28.5781851,77.2643543
28.6541384,77.128178
28.6507381,77.1466655
28.6432658,77.1322572
28.6714584,77.15265
28.6556653,77.1347201
28.6421808,77.1384368
28.6457969,77.1418078
28.6369227,77.1259051
28.651657,77.1217027
28.6371093,77.106767
28.6381412,77.1062643
28.6360207,77.101822
28.6353761,77.0957971
28.6149874,77.1147269
28.6285822,77.1257627
28.6187439,77.1182609
28.6321053,77.1370662
28.644371,77.1459826
28.6397381,77.1415181
28.5751302,77.179082
28.5790104,77.2009408
28.6566695,77.1426394
28.6392363,77.1048444
28.6837676,77.1912742
28.5641897,77.2453756
28.5577081,77.274981
28.5548352,77.2495194
28.7044934,77.1970806
28.6518058,77.1150797
28.6802626,77.2055859
28.6790809,77.2047931
28.5576219,77.2873437
28.5566457,77.2832387
28.6760743,77.1550856
28.6776478,77.1559935
28.6751147,77.1651288
28.6776108,77.1634747
28.6771826,77.1573503
28.6766079,77.1586915
28.6800635,77.1648445
28.6744374,77.164026
28.6743406,77.1606295
28.6785898,77.1568005
28.6783092,77.1561058
28.6765853,77.1660551
28.671984,77.1569775
28.6325424,77.1440854
28.7254396,77.1497559
28.7231976,77.1469825
28.645649,77.1725666
28.6519279,77.162923
28.5556715,77.2784261
28.5548229,77.2765121
28.6664525,77.2659606
28.666989,77.2682881
28.6669717,77.2608716
28.6979093,77.2259061
28.6956419,77.225687
28.6495976,77.1602142
28.6458975,77.1598664
28.646457,77.1589391
28.6485168,77.1607213
28.6492941,77.0867345
28.6460755,77.0867215
28.6469886,77.0912083
28.6473082,77.0887763
28.6492826,77.0895176
28.6440141,77.2783394
28.6441834,77.2735917
28.6452553,77.2787848
28.6439524,77.2760992
28.5613346,77.198257
28.6538979,77.2318096
28.6696561,77.2970782
28.6719267,77.2984841
28.6717084,77.2964437
28.6710098,77.2996163
28.5380482,77.197621
28.6559834,77.2321937
28.6531586,77.2254416
28.6499269,77.2297876
28.6510694,77.2357433
28.6475688,77.2274607
28.6553816,77.2646965
28.5587023,77.2186032
28.6142263,77.2039446
28.6067737,77.2294161
28.6711259,77.2827076
28.677751,77.3175132
28.6703769,77.2782957
28.5741176,77.2598593
28.6507217,77.2153546
28.6482443,77.2154123
28.6459846,77.213524
28.6472792,77.2106272
28.6433402,77.2107499
28.5244125,77.2521015
28.5266671,77.2532648
28.5269296,77.2480619
28.5262642,77.2507945
28.5273104,77.2524573
28.6698142,77.3072827
28.6428823,77.0896234
28.5173369,77.2025984
28.5094555,77.1986538
28.5493148,77.1366443
28.5585666,77.1417259
28.5637727,77.1400671
28.5645874,77.1429874
28.5685189,77.1413231
28.5720056,77.1414654
28.5920342,77.1550497
28.4987734,77.1944475
28.6339663,77.2237426
28.5884408,77.0782435
28.5610254,77.2072802
28.5409306,77.2096744
28.5117193,77.240937
28.5247893,77.2327927
28.5010357,77.2858299
28.6053043,77.2344193
28.6911359,77.1403903
28.4543326,77.1830318
28.6521435,77.2322489
28.6854297,77.290632
28.6837898,77.2907538
28.6773386,77.2860157
28.6840497,77.2837626
28.6821672,77.2868311
28.6315015,77.1006012
28.7138549,77.2078464
28.5754865,77.2483706
28.5223821,77.1724787
28.5355002,77.2599602
28.5583071,77.2104353
28.5225752,77.1702007
28.5316644,77.2592523
28.5027721,77.2021456
28.6231348,77.2966849
28.5643077,77.2324539
28.4985479,77.1910109
28.704747,77.2751662
28.70272,77.2078832
28.6094909,77.1953026
28.6196604,77.2037943
28.6039358,77.1834133
28.6341941,77.0559245
28.6260208,77.0624836
28.6368974,77.0699741
28.5887154,77.1249695
28.5845458,77.1219448
28.5781626,77.120465
28.6370001,77.1136237
28.6338403,77.3069802
28.6926195,77.2562756
28.546006,77.1895389
28.5952424,77.2262907
28.7188375,77.1138096
28.7391309,77.1499765
28.6837264,77.1988892
28.6446113,77.1677327
28.5612584,77.1943617
28.619553,77.2830355
28.6951051,77.223748
28.7464118,77.1312654
28.5840648,77.2213286
28.5876212,77.2143495
28.4823661,77.1724534
28.4680311,77.1823025
28.4688705,77.2051549
28.5361968,77.2207144
28.6371197,77.2950176
28.6913861,77.1935229
28.6305485,77.2991478
28.6377156,77.2906706
28.5457635,77.1252098
28.6732661,77.3229558
28.5385611,77.1857102
28.538409,77.1854053
28.5386057,77.1848156
28.5389266,77.1846341
28.5389561,77.1841814
28.6538898,77.3192174
28.6431162,77.212564
28.8239469,77.1332704
28.5535814,77.1756225
28.5382239,77.1858583
28.5696981,77.1993546
28.5697895,77.1996451
28.5664905,77.2525096
28.5890738,77.3014466
28.6511553,77.2500716
28.5740408,77.0415217
28.5769602,77.0418439
28.5893983,77.3005948
28.5838055,77.3028571
28.5897493,77.3000851
28.6537076,77.3197286
28.67465,77.3228273
28.6513823,77.3192607
28.6666196,77.3183149
28.6331903,77.2964767
28.6252998,77.3163861
28.6229803,77.3069047
28.6228711,77.3186984
28.6238366,77.3175258
28.6034315,77.3066703
28.6016057,77.3073246
28.6045657,77.3055636
28.6075747,77.3058268
28.6692095,77.0928306
28.6691896,77.0929701
28.7034444,77.1358884
28.6679829,77.1362136
28.6971344,77.1825223
28.6970455,77.1826247
28.6785413,77.1911769
28.6879707,77.1723039
28.6876096,77.1772786
28.7060711,77.1597207
28.7025201,77.1592938
28.7050834,77.1652098
28.7078978,77.1640278
28.7117089,77.1666956
28.7087849,77.1685387
28.7107317,77.1586012
28.7112986,77.1635825
28.7069508,77.1691683
28.7066849,77.1712176
28.7068865,77.1569399
28.7097783,77.1676817
28.7089503,77.1554167
28.7188815,77.1585641
28.7135266,77.1542922
28.7108547,77.1546886
28.7190721,77.1610891
28.7149078,77.1640022
28.7150914,77.1585745
28.7178324,77.1592627
28.7135561,77.1492399
28.7163046,77.1598278
28.7115032,77.1507157
28.712389,77.1601935
28.7058359,77.1543176
28.7141885,77.1518336
28.729167,77.1507491
28.7271021,77.1481179
28.7239544,77.1544093
28.7214854,77.1507458
28.7179708,77.157129
28.7045333,77.1495551
28.7025017,77.1450512
28.6977696,77.1440318
28.7143667,77.1439771
28.7092195,77.1368997
28.7170832,77.1413844
28.7080161,77.1429411
28.7105697,77.1450401
28.7133474,77.1421234
28.7115444,77.1469805
28.7150158,77.1403913
28.7111095,77.1391818
28.7156434,77.1424167
28.705605,77.1398875
28.7090667,77.1439993
28.7072226,77.1403449
28.7119121,77.1405104
28.712535,77.1462488
28.7192098,77.1425751
28.7329079,77.1094479
28.721479,77.1300002
28.7149211,77.1237595
28.7355006,77.1205419
